source_provider,source_clip_id,semantic_unit_ids,member_pose_ids,library_numbers,reason_codes,disposition,requested_by,requested_at
CMU,cmu:104_26,"[""pose:cmu_104_26_00785""]","[""cmu_104_26_00785"", ""cmu_104_26_00785_mirror""]","[""BVH-000301"", ""BVH-000302""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:104_31,"[""pose:cmu_104_31_00998""]","[""cmu_104_31_00998"", ""cmu_104_31_00998_mirror""]","[""BVH-000303"", ""BVH-000304""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:106_15,"[""pose:cmu_106_15_00998""]","[""cmu_106_15_00998"", ""cmu_106_15_00998_mirror""]","[""BVH-000311"", ""BVH-000312""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:107_09,"[""pose:cmu_107_09_00281""]","[""cmu_107_09_00281"", ""cmu_107_09_00281_mirror""]","[""BVH-000315"", ""BVH-000316""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:108_19,"[""pose:cmu_108_19_00150""]","[""cmu_108_19_00150"", ""cmu_108_19_00150_mirror""]","[""BVH-000317"", ""BVH-000318""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:108_20,"[""pose:cmu_108_20_00136""]","[""cmu_108_20_00136"", ""cmu_108_20_00136_mirror""]","[""BVH-000319"", ""BVH-000320""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:108_21,"[""pose:cmu_108_21_00212""]","[""cmu_108_21_00212"", ""cmu_108_21_00212_mirror""]","[""BVH-000321"", ""BVH-000322""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:117_01,"[""pose:cmu_117_01_00665""]","[""cmu_117_01_00665"", ""cmu_117_01_00665_mirror""]","[""BVH-000333"", ""BVH-000334""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:117_04,"[""pose:cmu_117_04_00589"", ""pose:cmu_117_04_02030""]","[""cmu_117_04_00589"", ""cmu_117_04_00589_mirror"", ""cmu_117_04_02030"", ""cmu_117_04_02030_mirror""]","[""BVH-000335"", ""BVH-000336"", ""BVH-000337"", ""BVH-000338""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:117_05,"[""pose:cmu_117_05_01382_ground""]","[""cmu_117_05_01382_ground"", ""cmu_117_05_01382_ground_mirror""]","[""BVH-000339"", ""BVH-000340""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:117_07,"[""pose:cmu_117_07_00590""]","[""cmu_117_07_00590"", ""cmu_117_07_00590_mirror""]","[""BVH-000341"", ""BVH-000342""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
CMU,cmu:117_08,"[""pose:cmu_117_08_00677_ground""]","[""cmu_117_08_00677_ground"", ""cmu_117_08_00677_ground_mirror""]","[""BVH-000343"", ""BVH-000344""]",missing_source_action_name;low_pose_quality,pending_physical_deletion,project_owner,2026-08-18
