library_no,pose_id,bvh_filename,source_clip_id,provider,collection_id,native_subject_id,native_asset_id,native_clip_id,original_title,original_filename,selected_frame_index,selected_frame_index_hint,frame_index_base,source_fps,sample_ordinal,retarget_profile,operations,source_uri,source_sha256,catalog_snapshot_ref,catalog_match_status,file_lineage_status,reviewer,notes
BVH-000001,2hand Idle_01,2hand Idle_01.bvh,local_named:2hand Idle,unknown,local_named,,,,2hand Idle,,,,unknown,,1,,[],,,,missing,unverified,,
BVH-000002,2hand Idle_01_mirror,2hand Idle_01_mirror.bvh,local_named:2hand Idle,unknown,local_named,,,,2hand Idle,,,,unknown,,1,,"[{""status"":""paired_member_present"",""type"":""mirror""}]",,,,missing,derived_mirror,,
BVH-000003,Arm Stretching_00054,Arm Stretching_00054.bvh,local_action_raw:Arm Stretching,unknown,local_action_raw,,,,Arm Stretching,Arm Stretching.bvh,54,54,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Arm Stretching.bvh,sha256:54d29e0cc7cb7acc8d85458630c5069f87928748d296b49d5788ceabe2ba9661,,missing,verified,,
BVH-000004,Arm Stretching_00054_mirror,Arm Stretching_00054_mirror.bvh,local_action_raw:Arm Stretching,unknown,local_action_raw,,,,Arm Stretching,Arm Stretching.bvh,,54,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Arm Stretching.bvh,sha256:54d29e0cc7cb7acc8d85458630c5069f87928748d296b49d5788ceabe2ba9661,,missing,derived_mirror,,
BVH-000005,Arm Stretching_00129,Arm Stretching_00129.bvh,local_action_raw:Arm Stretching,unknown,local_action_raw,,,,Arm Stretching,Arm Stretching.bvh,129,129,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Arm Stretching.bvh,sha256:54d29e0cc7cb7acc8d85458630c5069f87928748d296b49d5788ceabe2ba9661,,missing,verified,,
BVH-000006,Arm Stretching_00129_mirror,Arm Stretching_00129_mirror.bvh,local_action_raw:Arm Stretching,unknown,local_action_raw,,,,Arm Stretching,Arm Stretching.bvh,,129,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Arm Stretching.bvh,sha256:54d29e0cc7cb7acc8d85458630c5069f87928748d296b49d5788ceabe2ba9661,,missing,derived_mirror,,
BVH-000007,Asking Question_01,Asking Question_01.bvh,local_named:Asking Question,unknown,local_named,,,,Asking Question,,,,unknown,,1,,[],,,,missing,unverified,,
BVH-000008,Asking Question_01_mirror,Asking Question_01_mirror.bvh,local_named:Asking Question,unknown,local_named,,,,Asking Question,,,,unknown,,1,,"[{""status"":""paired_member_present"",""type"":""mirror""}]",,,,missing,derived_mirror,,
BVH-000009,Asking Question_03,Asking Question_03.bvh,local_named:Asking Question,unknown,local_named,,,,Asking Question,,,,unknown,,3,,[],,,,missing,unverified,,
BVH-000010,Asking Question_03_mirror,Asking Question_03_mirror.bvh,local_named:Asking Question,unknown,local_named,,,,Asking Question,,,,unknown,,3,,"[{""status"":""paired_member_present"",""type"":""mirror""}]",,,,missing,derived_mirror,,
BVH-000011,Baseball Hit_00033,Baseball Hit_00033.bvh,local_action_raw:Baseball Hit,unknown,local_action_raw,,,,Baseball Hit,Baseball Hit.bvh,33,33,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Baseball Hit.bvh,sha256:ca456aead8ccf4daf286142e144e0d1f5312baca64512379770dbd7ba3ef304a,,missing,verified,,
BVH-000012,Baseball Hit_00033_mirror,Baseball Hit_00033_mirror.bvh,local_action_raw:Baseball Hit,unknown,local_action_raw,,,,Baseball Hit,Baseball Hit.bvh,,33,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Baseball Hit.bvh,sha256:ca456aead8ccf4daf286142e144e0d1f5312baca64512379770dbd7ba3ef304a,,missing,derived_mirror,,
BVH-000013,Baseball Hit_00054,Baseball Hit_00054.bvh,local_action_raw:Baseball Hit,unknown,local_action_raw,,,,Baseball Hit,Baseball Hit.bvh,54,54,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Baseball Hit.bvh,sha256:ca456aead8ccf4daf286142e144e0d1f5312baca64512379770dbd7ba3ef304a,,missing,verified,,
BVH-000014,Baseball Hit_00054_mirror,Baseball Hit_00054_mirror.bvh,local_action_raw:Baseball Hit,unknown,local_action_raw,,,,Baseball Hit,Baseball Hit.bvh,,54,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Baseball Hit.bvh,sha256:ca456aead8ccf4daf286142e144e0d1f5312baca64512379770dbd7ba3ef304a,,missing,derived_mirror,,
BVH-000015,Baseball Hit_00111,Baseball Hit_00111.bvh,local_action_raw:Baseball Hit,unknown,local_action_raw,,,,Baseball Hit,Baseball Hit.bvh,111,111,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Baseball Hit.bvh,sha256:ca456aead8ccf4daf286142e144e0d1f5312baca64512379770dbd7ba3ef304a,,missing,verified,,
BVH-000016,Baseball Hit_00111_mirror,Baseball Hit_00111_mirror.bvh,local_action_raw:Baseball Hit,unknown,local_action_raw,,,,Baseball Hit,Baseball Hit.bvh,,111,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Baseball Hit.bvh,sha256:ca456aead8ccf4daf286142e144e0d1f5312baca64512379770dbd7ba3ef304a,,missing,derived_mirror,,
BVH-000017,Big Side Hit_00009,Big Side Hit_00009.bvh,local_action_raw:Big Side Hit,unknown,local_action_raw,,,,Big Side Hit,Big Side Hit.bvh,9,9,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Big Side Hit.bvh,sha256:0916d1a6b696c04ebeee490a89e7594c6026a0df137970e5258a6c6726302321,,missing,verified,,
BVH-000018,Big Side Hit_00009_mirror,Big Side Hit_00009_mirror.bvh,local_action_raw:Big Side Hit,unknown,local_action_raw,,,,Big Side Hit,Big Side Hit.bvh,,9,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Big Side Hit.bvh,sha256:0916d1a6b696c04ebeee490a89e7594c6026a0df137970e5258a6c6726302321,,missing,derived_mirror,,
BVH-000019,Big Side Hit_00018,Big Side Hit_00018.bvh,local_action_raw:Big Side Hit,unknown,local_action_raw,,,,Big Side Hit,Big Side Hit.bvh,18,18,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Big Side Hit.bvh,sha256:0916d1a6b696c04ebeee490a89e7594c6026a0df137970e5258a6c6726302321,,missing,verified,,
BVH-000020,Big Side Hit_00018_mirror,Big Side Hit_00018_mirror.bvh,local_action_raw:Big Side Hit,unknown,local_action_raw,,,,Big Side Hit,Big Side Hit.bvh,,18,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Big Side Hit.bvh,sha256:0916d1a6b696c04ebeee490a89e7594c6026a0df137970e5258a6c6726302321,,missing,derived_mirror,,
BVH-000021,Boxing_01,Boxing_01.bvh,local_named:Boxing,unknown,local_named,,,,Boxing,,,,unknown,,1,,[],,,,missing,unverified,,
BVH-000022,Boxing_01_mirror,Boxing_01_mirror.bvh,local_named:Boxing,unknown,local_named,,,,Boxing,,,,unknown,,1,,"[{""status"":""paired_member_present"",""type"":""mirror""}]",,,,missing,derived_mirror,,
BVH-000023,Boxing_02,Boxing_02.bvh,local_named:Boxing,unknown,local_named,,,,Boxing,,,,unknown,,2,,[],,,,missing,unverified,,
BVH-000024,Boxing_02_mirror,Boxing_02_mirror.bvh,local_named:Boxing,unknown,local_named,,,,Boxing,,,,unknown,,2,,"[{""status"":""paired_member_present"",""type"":""mirror""}]",,,,missing,derived_mirror,,
BVH-000025,Boxing_03,Boxing_03.bvh,local_named:Boxing,unknown,local_named,,,,Boxing,,,,unknown,,3,,[],,,,missing,unverified,,
BVH-000026,Boxing_03_mirror,Boxing_03_mirror.bvh,local_named:Boxing,unknown,local_named,,,,Boxing,,,,unknown,,3,,"[{""status"":""paired_member_present"",""type"":""mirror""}]",,,,missing,derived_mirror,,
BVH-000027,Button Pushing_01,Button Pushing_01.bvh,local_action_raw:Button Pushing,unknown,local_action_raw,,,,Button Pushing,Button Pushing.bvh,,,unknown,30.0003,1,,[],data/_action_raw/Button Pushing.bvh,sha256:feafb9df5bdbd7241610f3b49aef9b4bda1593c25212b5a795d9e6531a6e13a1,,missing,unverified,,
BVH-000028,Button Pushing_01_mirror,Button Pushing_01_mirror.bvh,local_action_raw:Button Pushing,unknown,local_action_raw,,,,Button Pushing,Button Pushing.bvh,,,unknown,30.0003,1,,"[{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Button Pushing.bvh,sha256:feafb9df5bdbd7241610f3b49aef9b4bda1593c25212b5a795d9e6531a6e13a1,,missing,derived_mirror,,
